Plant_Name,Location,Operator,Capacity_MW,Commission_Date,Nuclear_Type,Reactor_Type,Fuel_Type,Annual_Output_GWh,Status
Zhang Group,"USS Wong
FPO AE 12516",Beck-Yates,1350,2008-10-19,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2684,Decommissioned
Scott PLC,"Unit 6051 Box 9867
DPO AA 07046",Santos Inc,979,2019-04-03,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3552,Under Construction
"Martinez, Sullivan and Meyer","076 Maria Divide Suite 447
Lake Noahland, IA 04986",Blankenship-Buchanan,1341,2006-09-22,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,3780,Decommissioned
Miller LLC,"7244 Poole Underpass
Kimberlytown, PW 56498",Garza PLC,872,1995-02-16,Pressurized Water Reactor,Light Water Reactor,Thorium,3992,Operational
Johnson-Barton,"USCGC Cole
FPO AA 06239",Fuentes PLC,556,2022-09-28,Pressurized Water Reactor,Light Water Reactor,Thorium,3868,Under Construction
Carson LLC,"47510 Wilcox Mountain
Juliefort, MD 53546",Young LLC,1570,2019-03-18,Pressurized Water Reactor,Light Water Reactor,Plutonium,2028,Decommissioned
"Wise, Rodriguez and Miller","723 Shannon Port Suite 423
South Dianeton, WV 11199","Haynes, Marshall and Dunlap",1159,1996-06-10,Boiling Water Reactor,Light Water Reactor,Plutonium,2450,Operational
Herrera LLC,"282 Brenda Ville
New Phillipmouth, CA 95618",Macias Inc,1595,2004-05-24,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2651,Decommissioned
Burgess Inc,"2343 Robles Lodge Suite 924
Jenniferside, FL 11276",Hernandez LLC,555,2006-11-30,Fast Breeder Reactor,Light Water Reactor,Plutonium,1337,Under Construction
"Fuentes, Brown and Miller","880 Tracy Ramp Suite 129
Port Tracyland, GA 48227","Decker, Hamilton and Jimenez",1247,1994-08-16,Fast Breeder Reactor,Light Water Reactor,Uranium,3484,Decommissioned
"Pugh, Bates and Snow","84708 Harris Harbor
Morastad, NY 75840",Perkins-Stark,1881,2016-09-18,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3764,Decommissioned
"Smith, Romero and Griffin","001 Sawyer Plains
Shaunville, AS 59517",Guerrero-Davis,1858,2017-06-27,Pressurized Water Reactor,Light Water Reactor,Plutonium,3210,Under Construction
Walker Group,"200 Reyes Turnpike Suite 955
Smithmouth, AL 83473",Serrano LLC,1800,2020-04-02,Pressurized Water Reactor,Heavy Water Reactor,Thorium,1000,Decommissioned
"Knight, Hill and Woods","2219 Tyler Circles
New Samantha, WA 90469",Coleman Ltd,760,1996-06-20,Pressurized Water Reactor,Light Water Reactor,Uranium,4286,Under Construction
"Patterson, Williamson and Park","213 Orozco Island
North Maryville, OH 36267","Weber, Hart and Carter",1197,1995-11-03,Boiling Water Reactor,Heavy Water Reactor,Uranium,1768,Decommissioned
Spence and Sons,"0588 Kevin Course
Hillbury, NV 77301","Gill, Mcdonald and Hester",1974,2007-10-18,Boiling Water Reactor,Light Water Reactor,Uranium,4690,Operational
Jimenez and Sons,"00930 Ana Island Apt. 283
East Justin, AZ 87249",Barnett PLC,688,2001-11-19,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2992,Under Construction
Ochoa-Roberts,"1601 Obrien Turnpike
Lake Dominicstad, PW 55454",Chapman-Short,1584,2016-12-09,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1247,Decommissioned
"Maddox, Kennedy and Park","862 Montgomery Walks Apt. 699
Lake Jennifer, AK 77271",Coleman Group,1250,2005-01-19,Boiling Water Reactor,Light Water Reactor,Plutonium,1167,Under Construction
Hull Inc,"4916 Johnston Squares
Sanchezbury, GA 07211",Perry Inc,1591,2018-06-08,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2768,Decommissioned
White Inc,"PSC 1625, Box 1816
APO AP 81935","Smith, Nelson and Francis",1881,1998-05-01,Pressurized Water Reactor,Light Water Reactor,Uranium,2031,Operational
Parker-Lara,"835 Diaz Isle Suite 681
Joshuahaven, SD 98851","Moss, Howard and Johns",1410,2007-06-14,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1179,Under Construction
Mercado Inc,"320 Dougherty Knolls
Taraville, AK 89248",Guerrero LLC,1115,2021-09-03,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2341,Operational
Cooper LLC,"22681 Garcia Viaduct Suite 060
Michaelshire, MA 10124","Adams, Rhodes and Cisneros",1341,1998-10-21,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,2451,Under Construction
Freeman-Little,"508 Erik Plaza
Mirandashire, ND 57939",Lopez-Rojas,1257,2012-10-07,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,1372,Operational
Hughes-Tran,"76573 Thompson Mews Apt. 760
Jasonport, IA 95097",Sanders-Wright,1999,2011-06-16,Fast Breeder Reactor,Light Water Reactor,Thorium,3562,Operational
"Mills, Summers and Mcgee","5094 Blackburn Way Suite 991
Caldwellburgh, OH 48970","Smith, French and Johnson",1218,2020-03-03,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,2601,Decommissioned
Rich PLC,"198 Michael Crescent
Kimville, AS 72565","Mitchell, Rogers and Bean",1582,2008-03-12,Pressurized Water Reactor,Heavy Water Reactor,Thorium,3814,Under Construction
Fischer-Duncan,"47552 Michael Field Apt. 719
Larryton, AL 47729",Brooks PLC,916,1998-12-31,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,2430,Under Construction
"Brown, Mathis and Young","USNS Gardner
FPO AE 93507",Rios-Simon,1778,2015-09-24,Boiling Water Reactor,Gas-cooled Reactor,Thorium,4554,Decommissioned
Singleton-Warren,"1329 Meyers Ports Suite 341
South Keithburgh, GU 51957",Bean-Moore,1481,2004-01-30,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1665,Under Construction
"Anderson, Dalton and Bell","76710 Charles Forges
Marissaborough, PR 17107",Anderson Group,534,2019-02-03,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3472,Under Construction
Cook-Smith,"398 Obrien Mews Apt. 936
Ryanmouth, FM 53889",Hale Inc,1375,2005-09-25,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,3844,Operational
"Graham, Sullivan and Huffman","180 Amy Club Suite 597
Lake Jacob, OH 83003","Gonzalez, Miller and Ruiz",808,2015-11-09,Boiling Water Reactor,Heavy Water Reactor,Uranium,4466,Decommissioned
Smith PLC,"87793 Burton Run Suite 852
Franklinshire, MT 57391",Mata-Cox,740,2023-01-25,Boiling Water Reactor,Heavy Water Reactor,Uranium,4371,Decommissioned
"Williams, Washington and Anderson","394 Nicholas Cliffs Suite 413
North Andrea, MS 86868",Ward-Stephens,657,2012-10-15,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4600,Decommissioned
Griffin-Lee,"738 Campbell Street
North Jerry, FL 11065",Thomas and Sons,1704,2017-08-16,Boiling Water Reactor,Heavy Water Reactor,Thorium,3755,Decommissioned
"Jennings, Johnson and Clark","146 Barnett Drive
Gonzalesstad, MA 06193","Hunter, Vasquez and Simon",1252,1994-05-01,Fast Breeder Reactor,Heavy Water Reactor,Thorium,2668,Decommissioned
Sims-Stuart,"705 Fox Wells Suite 108
East Loriton, MT 38590",Smith Ltd,1108,2001-09-12,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3226,Operational
"Mclean, Ward and Oliver","9338 Thomas Field
Eduardoland, RI 81514",Lynch PLC,990,2021-03-03,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4716,Under Construction
Lewis-Mooney,"91790 Pope Shore
New Josephchester, MN 28284",Alvarez LLC,967,2001-09-28,Pressurized Water Reactor,Gas-cooled Reactor,Thorium,3411,Decommissioned
"Hayes, Young and Bennett","2020 Brown Ridge Apt. 969
South Pamela, GA 02706",Shea-Powell,891,2002-06-17,Fast Breeder Reactor,Light Water Reactor,Thorium,4144,Decommissioned
Hughes-Clark,"87104 Joshua Shoals Apt. 628
Michaelside, AZ 93287",Patrick LLC,1836,1997-03-10,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,4689,Under Construction
Mcintosh Inc,"3958 Smith Union
Pereztown, MS 10671",Kim PLC,1328,2018-11-12,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,3913,Decommissioned
Lyons Group,"21776 Kara Ports Apt. 112
Robertstad, PA 62227",Morrison Group,1386,2016-10-20,Fast Breeder Reactor,Heavy Water Reactor,Thorium,4292,Under Construction
Soto Ltd,"062 Debbie Via
West Robinbury, IA 41051",Weaver-Perez,1618,2022-08-09,Pressurized Water Reactor,Light Water Reactor,Plutonium,3054,Under Construction
"Stark, Lee and Velez","51815 Williams Club Apt. 890
Davisview, GU 15654",Morales-Cook,1300,2013-12-08,Boiling Water Reactor,Light Water Reactor,Plutonium,3508,Under Construction
"Black, Bradley and Kelly","9390 Brooks Camp Apt. 999
Lawrencechester, KS 51643",Scott and Sons,839,1997-07-27,Boiling Water Reactor,Light Water Reactor,Plutonium,1666,Under Construction
"James, Wu and Malone","86380 Jackson Spurs Suite 727
East Scottburgh, WI 23592",Stevens LLC,537,2016-03-09,Pressurized Water Reactor,Heavy Water Reactor,Uranium,1312,Under Construction
Hardin-Jones,"542 Ashley River Apt. 567
Tanyaview, TN 86878",Harmon Inc,1419,2003-07-09,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,3779,Operational
Reilly-Powers,"4734 Jacqueline Brook Apt. 996
South Jessicaberg, FL 23951","Hays, Mack and Dixon",1019,2000-12-08,Boiling Water Reactor,Heavy Water Reactor,Uranium,2630,Operational
"Morris, Nelson and Rodriguez","857 Sandra Shore
Amandaside, KS 97051",Porter and Sons,1683,2011-04-11,Boiling Water Reactor,Light Water Reactor,Thorium,4869,Under Construction
"Gutierrez, Vang and Marshall","536 Morgan Dale
Larsenstad, WI 65037",Myers Inc,1297,2001-01-30,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,3294,Operational
"Ramirez, Hernandez and Gordon","766 Vincent Gateway
South Steven, IA 13760",Watson-Glover,511,1995-09-16,Pressurized Water Reactor,Heavy Water Reactor,Thorium,1075,Under Construction
"Swanson, Ford and Mcdonald","3735 Blair Ville Apt. 163
Lake Bianca, WI 43415",Nunez and Sons,1805,2016-02-05,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1629,Decommissioned
Thomas-Hanson,"99302 Joshua Ports
West Mary, NE 66861","Cline, Johnson and Hayes",805,2015-12-22,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,1697,Operational
Webb and Sons,"926 Welch Stream
Cindytown, VI 73497",Baker Group,674,1997-02-04,Boiling Water Reactor,Light Water Reactor,Uranium,4561,Under Construction
"Carey, Compton and Hernandez","721 David Crest
Jacksonstad, NY 73422",Schwartz-Skinner,1970,2007-07-26,Fast Breeder Reactor,Light Water Reactor,Uranium,2155,Decommissioned
"Lee, Castillo and Smith","5009 Larson Union
Jenniferton, FM 67418","Dixon, Wilson and Thompson",1551,2007-03-24,Boiling Water Reactor,Gas-cooled Reactor,Uranium,2578,Under Construction
Cantu and Sons,"8657 John Trace Suite 994
West Bobby, NE 61689",Hansen-Cooper,1691,2001-01-08,Pressurized Water Reactor,Light Water Reactor,Thorium,1195,Operational
Obrien-Holloway,"085 Davis Via
Anthonyborough, PW 88670",Bailey-Rice,1216,2011-06-13,Boiling Water Reactor,Heavy Water Reactor,Uranium,1317,Operational
"Anderson, Mendoza and Alvarado","46056 Martin Road
Jonesfort, MP 62786",Delacruz LLC,1402,1999-06-12,Boiling Water Reactor,Heavy Water Reactor,Thorium,1913,Under Construction
Leonard LLC,"8558 Jacob Mall Suite 684
East Christinamouth, RI 29241","Wiley, Velasquez and Brooks",1493,2011-09-13,Boiling Water Reactor,Light Water Reactor,Uranium,2945,Decommissioned
Holt and Sons,"5716 Nicole Valleys
Johnfort, AS 43373","Edwards, Robinson and Giles",1383,2021-02-24,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4677,Under Construction
"Garcia, Gonzalez and Martinez","58971 Smith Vista
North Melissamouth, VA 45719","Sullivan, Rush and Taylor",545,2020-07-08,Pressurized Water Reactor,Heavy Water Reactor,Thorium,2489,Under Construction
"Long, Evans and Park","4907 Debra Forks Suite 776
Rodriguezchester, HI 47360","Nguyen, Patton and Allen",1247,2019-08-15,Boiling Water Reactor,Heavy Water Reactor,Uranium,3290,Under Construction
Herrera-Williams,"5243 Braun Junction
Davidmouth, VA 87848",Franklin Inc,1909,1995-10-06,Pressurized Water Reactor,Light Water Reactor,Plutonium,2077,Under Construction
Bowman Ltd,"180 Amber Path Suite 513
North Kellyview, WA 30978",Diaz-Barber,552,2006-12-27,Fast Breeder Reactor,Heavy Water Reactor,Thorium,1874,Under Construction
Green PLC,"3508 Green Harbor
West Gregmouth, MD 06157",Valdez PLC,653,2008-03-26,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4422,Operational
Ramos-Pierce,"983 Rodriguez Cove Apt. 983
Benjaminside, SC 00634",Matthews-Sellers,1786,2008-11-12,Boiling Water Reactor,Gas-cooled Reactor,Uranium,1422,Operational
Richardson LLC,"9260 Wheeler Avenue
Moyerside, OR 47258",Ayers Inc,1462,2008-09-18,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,4046,Under Construction
Soto PLC,"900 Mia Springs Suite 079
Wonghaven, KY 01510","Mann, Hawkins and Jones",1513,2021-05-13,Pressurized Water Reactor,Light Water Reactor,Uranium,1433,Decommissioned
Walton and Sons,"03130 Cynthia Rest
West Emilyside, CT 36722",Price-Blake,1472,2021-01-21,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1847,Operational
Welch and Sons,"323 Moore Dale
Kingborough, DE 99053","Cook, Romero and Cross",1608,2004-11-27,Pressurized Water Reactor,Light Water Reactor,Plutonium,3265,Under Construction
"Cox, Harrington and Joseph","916 Jason Mountains
New Kenneth, WY 88346",Bell and Sons,1352,2004-09-28,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2389,Under Construction
Jones Inc,"22807 Joshua Way Apt. 771
Alvarezton, SD 62118",Smith Inc,1088,2009-09-13,Pressurized Water Reactor,Light Water Reactor,Uranium,3586,Decommissioned
Schmidt-Johnson,"1455 Allison Brooks Apt. 791
Lake Derekland, CA 15641",Fischer and Sons,1288,2003-11-27,Boiling Water Reactor,Heavy Water Reactor,Uranium,2553,Operational
Zavala and Sons,"15517 Stephanie Expressway Suite 013
Port Cindyberg, WY 14110","James, Guzman and Mendez",974,2005-05-12,Pressurized Water Reactor,Light Water Reactor,Plutonium,1697,Decommissioned
Reed-Hudson,"2103 Smith Spurs Suite 389
North Hollymouth, PW 98129",Villanueva LLC,696,1997-02-16,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2840,Under Construction
"Guerrero, Chambers and Valenzuela","USNS Campbell
FPO AA 93742","Marshall, Parker and Crawford",1315,2020-09-30,Fast Breeder Reactor,Light Water Reactor,Thorium,1474,Decommissioned
"Warren, Parker and Taylor","Unit 2079 Box 3859
DPO AE 10784",Sanchez-Wilson,1735,1995-04-22,Boiling Water Reactor,Light Water Reactor,Plutonium,1893,Under Construction
Estes and Sons,"40756 Cody Avenue
Jessicaside, IA 24647",Nash-Gomez,1430,2007-11-30,Boiling Water Reactor,Light Water Reactor,Plutonium,3775,Under Construction
"Myers, Webster and Christian","PSC 0753, Box 4822
APO AA 88025","Jones, Huber and Dunlap",725,2011-08-06,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1678,Decommissioned
Brown LLC,"47872 Nelson Valleys
New Benjaminberg, FL 15491",Collins-Hoffman,506,2010-06-10,Pressurized Water Reactor,Heavy Water Reactor,Thorium,4608,Decommissioned
Thomas-Turner,"USCGC Patel
FPO AP 72024",Beck PLC,1861,2023-02-14,Boiling Water Reactor,Light Water Reactor,Thorium,4193,Operational
"Harper, Ramirez and Flowers","093 Potter Brook
Kramerhaven, MO 72019","Stafford, Harvey and Trujillo",1359,1999-08-27,Boiling Water Reactor,Light Water Reactor,Uranium,4767,Decommissioned
Ramirez PLC,"02033 Krueger Mission Suite 699
Traviston, CA 40210","Garcia, Allen and Andrews",1248,2020-07-08,Fast Breeder Reactor,Light Water Reactor,Thorium,2785,Operational
"Smith, Aguilar and Cox","668 Diamond Fork
Lake Danielshire, FL 18233","Norris, Salas and Smith",1618,2015-04-15,Pressurized Water Reactor,Light Water Reactor,Plutonium,4002,Operational
"James, Carter and Martin","983 Laurie Ridges
Lake Collinburgh, MS 33434",Clark-Little,673,2011-03-09,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4287,Decommissioned
"Mathews, Williams and Andrews","5473 Janet Rapids
Judyhaven, WA 63767","Wilson, Lopez and Young",1011,2023-01-28,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4550,Operational
"Beasley, Nelson and Mcdonald","8085 Erica Glen Suite 138
Ortizhaven, FL 15562",Sanchez and Sons,916,2010-02-10,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,4868,Decommissioned
Cummings-Stewart,"10248 Nathan Avenue
Davidport, ME 56225",Prince and Sons,1892,2010-06-12,Pressurized Water Reactor,Light Water Reactor,Plutonium,4230,Decommissioned
"Stokes, Miller and Ellison","1906 James Hill
Mccarthyton, FM 96433",Miller-Williams,993,2009-01-25,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,2946,Operational
Lane Inc,"277 Andrew Via
Josephberg, OR 76204",Arroyo-Scott,1773,2008-03-05,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2298,Under Construction
"Wade, Lester and Henry","59228 Mccall Roads Suite 938
Beckyside, MN 49604",Pierce Group,1945,2018-08-23,Boiling Water Reactor,Gas-cooled Reactor,Thorium,4661,Operational
Mills-Horn,"881 Crane Lake Suite 109
Andreaburgh, RI 25253",Adkins Group,686,1999-04-17,Pressurized Water Reactor,Light Water Reactor,Uranium,1455,Operational
Wood Group,"1122 Francisco Fall Suite 531
Newmanside, PR 58662",Watson LLC,1184,1997-10-02,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,2796,Under Construction
"Martinez, Rose and Reyes","93588 Noble Road Suite 691
Nancyhaven, NH 91889","Oconnell, Morrison and Kim",1827,2013-07-27,Pressurized Water Reactor,Heavy Water Reactor,Plutonium,3592,Operational
Sutton-Hernandez,"52798 Olivia Shoals Suite 076
Karenland, NH 58066",Ortiz-Lucas,1587,2014-08-24,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2852,Decommissioned
Gibson-Wagner,"17275 Austin Port
Jamesport, WY 67959",Turner and Sons,1741,2008-08-14,Boiling Water Reactor,Heavy Water Reactor,Plutonium,3465,Decommissioned
"Burton, Ingram and English","Unit 9964 Box 2231
DPO AA 21734",Raymond and Sons,1615,2008-02-24,Pressurized Water Reactor,Light Water Reactor,Plutonium,3947,Under Construction
"Brown, Harris and Garrison","3705 Steven Mission Suite 283
Houstonberg, AS 75836","Gould, Weber and Hopkins",771,2021-06-30,Pressurized Water Reactor,Light Water Reactor,Uranium,2996,Under Construction
"Brewer, Powell and Roberts","3258 Wong Road
New Carrieport, TN 99786","Le, Medina and Lee",1818,2014-10-29,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,1015,Under Construction
Lin-Hancock,"2396 Davis Vista
West Angieland, AR 83574","Townsend, Price and Fernandez",898,2008-12-27,Fast Breeder Reactor,Light Water Reactor,Uranium,3259,Decommissioned
Foster-Johnson,"7558 Allison Drive
New Amanda, NY 42371",Clark Group,1235,2016-04-23,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,2052,Decommissioned
"Williams, Smith and Davenport","240 Zachary Lodge Apt. 666
Michaelstad, DC 28685",Ewing Ltd,966,1999-11-23,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,3787,Decommissioned
Hernandez-Guzman,"7470 Anna Viaduct Suite 278
West Meghan, MT 83462","Stevens, Kelley and Gonzalez",641,2009-07-25,Fast Breeder Reactor,Gas-cooled Reactor,Uranium,1233,Operational
Morgan PLC,"43163 Allen Dam
Lorettaburgh, MT 68859",Shah Group,1739,2022-01-12,Boiling Water Reactor,Light Water Reactor,Plutonium,2554,Under Construction
Scott-Vincent,"9973 William Place Suite 504
Campbellmouth, VI 93644","Day, Garcia and Duncan",616,2000-11-05,Boiling Water Reactor,Heavy Water Reactor,Plutonium,1100,Under Construction
"Rivera, Davis and Bennett","8066 Laurie Stream Suite 886
Tinatown, AK 42963",Owens-Harris,578,2018-03-27,Pressurized Water Reactor,Light Water Reactor,Uranium,2801,Operational
Brown-Sharp,"Unit 9606 Box 6895
DPO AP 76348",Johnson-White,1559,2003-02-09,Fast Breeder Reactor,Light Water Reactor,Plutonium,4719,Decommissioned
Johnson-Atkinson,"070 Marissa Route
Loganhaven, RI 59927","Lopez, Reed and Johnson",793,2021-02-18,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4198,Decommissioned
Hamilton LLC,"4804 Cruz Common Apt. 958
West Jeremiahfurt, AR 67264",Ward-Brooks,1504,2022-02-12,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,4290,Decommissioned
"Roberts, Contreras and Mcguire","92991 Cline Common Apt. 648
Sarahland, ID 63005",Willis Group,1023,1995-01-28,Boiling Water Reactor,Gas-cooled Reactor,Uranium,3042,Decommissioned
Francis PLC,"64441 Colleen Flats Apt. 700
South Stevenbury, TX 36773","Chapman, Wilkerson and Wood",1767,2000-06-30,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1605,Under Construction
Guerra-Brown,"195 Wanda Wells
Port Randy, CT 62308","Graves, Lara and Austin",865,2008-08-25,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2022,Decommissioned
Velazquez Group,"804 Samantha Falls Suite 794
North Ellenchester, WI 67833",Costa Ltd,692,2016-10-26,Pressurized Water Reactor,Gas-cooled Reactor,Uranium,2892,Operational
"Jackson, Stewart and Johnson","43023 Sandra Cliff
North Barbara, HI 69165","Peterson, Graves and Berger",1082,2016-12-21,Boiling Water Reactor,Light Water Reactor,Uranium,4592,Under Construction
"Gibson, Sanchez and Mckinney","977 Webb Grove Suite 373
Fosterfurt, WI 47133","Young, Thompson and Benitez",1604,2007-12-03,Pressurized Water Reactor,Heavy Water Reactor,Uranium,4306,Decommissioned
"Burton, Williams and Hansen","932 Robert Circles
Brownmouth, NY 61957",Anthony Group,1388,1999-05-17,Boiling Water Reactor,Gas-cooled Reactor,Plutonium,1550,Decommissioned
Hunt and Sons,"18432 Paul Radial
New Joyce, AS 94115","Walker, Kemp and Wood",1390,2005-08-19,Fast Breeder Reactor,Light Water Reactor,Uranium,3450,Decommissioned
Franklin-Shields,"24471 Anderson Glen Suite 063
Manuelborough, MI 69513",Henderson LLC,1153,1995-05-03,Boiling Water Reactor,Heavy Water Reactor,Plutonium,4501,Under Construction
Harvey-Marshall,"USCGC Hart
FPO AP 43520","Harris, Johnson and Thompson",1097,2006-08-04,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,2418,Operational
Garcia-Sanchez,"5399 Cheryl Manors Suite 815
Amberberg, AR 49878",Patrick LLC,525,2006-10-16,Fast Breeder Reactor,Light Water Reactor,Thorium,1989,Under Construction
Rios LLC,"305 Chase Orchard Suite 858
West Heather, MA 96799",Lloyd LLC,1894,1996-02-13,Boiling Water Reactor,Light Water Reactor,Plutonium,3652,Operational
Gibson and Sons,"69440 Thompson Spurs Apt. 271
East Jill, NC 39715",Novak-Bradley,1994,2018-02-06,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,3963,Decommissioned
Guzman-Sexton,"4156 David Vista Suite 698
East Morganfurt, OR 72912",Morris Inc,1355,2006-08-06,Pressurized Water Reactor,Light Water Reactor,Uranium,1338,Operational
Reyes PLC,"18811 Kathleen Club Apt. 724
Gailport, IL 79588","Molina, Manning and Rodriguez",1557,2012-03-02,Pressurized Water Reactor,Light Water Reactor,Plutonium,2313,Under Construction
Mcdonald-Dunn,"9707 Gutierrez Parks Apt. 706
Diazberg, WA 51821","Odom, Smith and Bender",1789,2015-06-21,Pressurized Water Reactor,Gas-cooled Reactor,Plutonium,4027,Decommissioned
"Mendoza, Smith and Williams","30485 Woods Shoal Suite 576
Anthonymouth, CO 42660",Murphy Inc,950,2001-08-12,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,3110,Under Construction
"Peck, Melendez and Thomas","194 Blanchard Fall Suite 265
West Jeffreyhaven, TN 75328",James-Farmer,1954,2007-03-09,Fast Breeder Reactor,Heavy Water Reactor,Uranium,4731,Decommissioned
Sanford-Collier,"57176 Parrish Junction
West Alyssa, AL 02626",Morgan-Hutchinson,1059,2019-05-06,Fast Breeder Reactor,Gas-cooled Reactor,Plutonium,1737,Operational
"Brown, Mullins and Cisneros","4841 Allison Manor
Bryanshire, TX 48712",Johnson-Maddox,1005,2002-01-27,Fast Breeder Reactor,Gas-cooled Reactor,Thorium,2094,Operational
Stone and Sons,"5009 Emily Cliff
Myersmouth, TN 03704",Johnson PLC,1775,1994-02-23,Boiling Water Reactor,Gas-cooled Reactor,Thorium,2793,Decommissioned
Jefferson LLC,"0605 Angel Forge
East Chelsea, MD 19410",Phillips Ltd,1218,2014-10-17,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,2599,Operational
"Lucero, Harris and Jones","PSC 2119, Box 8720
APO AA 81434","Cruz, Clements and Rodriguez",1560,2013-11-17,Fast Breeder Reactor,Heavy Water Reactor,Plutonium,3309,Decommissioned
Duran-Carrillo,"4906 May Coves
Nicholsmouth, MH 93937",Brown-Bush,687,2006-12-24,Pressurized Water Reactor,Heavy Water Reactor,Uranium,2034,Under Construction
Clarke-Stafford,"8294 Katie Haven Apt. 871
East Suzanne, MA 41550","Anderson, Sanchez and Baker",880,2009-01-26,Fast Breeder Reactor,Heavy Water Reactor,Uranium,1651,Under Construction
